typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,392,JPN,Japan,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,15285395.184,15285395.184,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,400,JOR,Jordan,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,13526.032,13526.032,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,679877.341,679877.341,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,414,KWT,Kuwait,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,28660174.495,28660174.495,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,422,LBN,Lebanon,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,23930.672,23930.672,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,446,MAC,"China, Macao SAR",0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,3313322.99,3313322.99,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,458,MYS,Malaysia,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,15969797.849,15969797.849,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,490,S19,"Other Asia, nes",0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,83350.185,83350.185,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,512,OMN,Oman,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2773569.794,2773569.794,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,524,NPL,Nepal,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,248527.317,248527.317,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,528,NLD,Netherlands,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,3299614.529,3299614.529,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,540,NCL,New Caledonia,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,9017.355,9017.355,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,554,NZL,New Zealand,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,33953288.954,33953288.954,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,574,NFK,Norfolk Isds,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,5722.552,5722.552,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,586,PAK,Pakistan,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1364040.007,1364040.007,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,598,PNG,Papua New Guinea,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,205.318,205.318,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,608,PHL,Philippines,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,12920693.068,12920693.068,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,616,POL,Poland,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,11098.283,11098.283,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,634,QAT,Qatar,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2470162.855,2470162.855,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,682,SAU,Saudi Arabia,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1387.285,1387.285,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,699,IND,India,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,69364.268,69364.268,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,702,SGP,Singapore,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2975262.357,2975262.357,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,704,VNM,Viet Nam,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,73810985.788,73810985.788,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,724,ESP,Spain,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1387.285,1387.285,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,764,THA,Thailand,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,2594664.086,2594664.086,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,784,ARE,United Arab Emirates,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,13399473.685,13399473.685,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,818,EGY,Egypt,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,1761.159,1761.159,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,826,GBR,United Kingdom,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,7787262.784,7787262.784,4,False,True
C,A,20220101,2022,52,2022,36,AUS,Australia,X,Export,837,X1 ,Bunkers,0,W00,World,H6,HS,True,01,Animals; live,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,0.0,True,0.0,False,,77202.43,77202.43,4,False,True
